starts,ends,congestion
1512218700.0,1512243900.0,1.0
1512243900.0,1512301500.0,0.0
1512301500.0,1512327600.0,1.0
1512327600.0,1512392400.0,0.0
1512392400.0,1512413100.0,1.0
1512413100.0,1512478800.0,0.0
1512478800.0,1512500400.0,1.0
1512500400.0,1512565200.0,0.0
1512565200.0,1512581400.0,1.0
1512581400.0,1512651600.0,0.0
1512651600.0,1512673200.0,1.0
1512673200.0,1512735300.0,0.0
1512735300.0,1512761400.0,1.0
1512761400.0,1512806400.0,0.0
1512806400.0,1512849600.0,1.0
1512849600.0,1512895500.0,0.0
1512895500.0,1512934200.0,1.0
1512934200.0,1512998100.0,0.0
1512998100.0,1513019700.0,1.0
1513019700.0,1513082700.0,0.0
1513082700.0,1513105200.0,1.0
1513105200.0,1513170000.0,0.0
1513170000.0,1513193400.0,1.0
1513193400.0,1513252800.0,0.0
1513252800.0,1513278900.0,1.0
1513278900.0,1513338300.0,0.0
1513338300.0,1513365300.0,1.0
1513365300.0,1513409400.0,0.0
1513409400.0,1513410300.0,1.0
